id,task_id,file,line_start,line_end,severity,confidence,title,is_duplicate_of,verification_status,section
194,T10,lib/recovery.ts,26,26,LOW,medium,RECOVERY_RESUME_TEXT leaks marker into user transcript,5,PASSED,errors
195,T10,lib/storage.ts,99,111,LOW,high,StorageError.code ERRNO strings blur with ErrorCode.CODEX_* in downstream logs,,PASSED,errors
196,T10,lib/ui/confirm.ts,4,22,LOW,high,lib/ui/confirm.ts is stranded; only lib/ui/auth-menu.ts imports it,,VERIFICATION_FAILED,errors
197,T10,lib/recovery.ts,281,289,LOW,high,Recovery failure toast text is generic; no code or remediation,,PASSED,errors
198,T10,lib/errors.ts,26,26,LOW,medium,CodexError.context type admits unbounded payload; no size limit,173,PASSED,errors
199,T10,lib/circuit-breaker.ts,17,22,LOW,high,"CircuitOpenError has no code, no cause, no accountKey context",,PASSED,errors
200,T11,lib/storage.ts,624,635,HIGH,high,V4+ storage silently discarded â€” writable callers can clobber forward-compat data,,PASSED,config
201,T11,lib/storage/migrations.ts,1,112,HIGH,high,V2 format has neither schema nor migrator,,PASSED,config
202,T11,scripts/install-oc-codex-multi-auth-core.js,321,338,HIGH,high,Installer overwrites provider.openai wholesale â€” user customisations silently lost,,PASSED,config
203,T11,scripts/install-oc-codex-multi-auth-core.js,56,73,LOW,medium,Home-dir resolver drift: installer vs runtime can target different directories,,PASSED,config
204,T11,lib/config.ts,66,107,MEDIUM,high,loadPluginConfig spreads unvalidated user keys â€” silent contract widening,83,PASSED,config
205,T11,scripts/install-oc-codex-multi-auth-core.js,295,370,MEDIUM,high,Installer has no rollback on partial-write failure,202,PASSED,config
206,T11,scripts/install-oc-codex-multi-auth-core.js,325,338,MEDIUM,high,Corrupt opencode.json triggers silent replacement with template,202,PASSED,config
207,T11,scripts/install-oc-codex-multi-auth-core.js,163,175,MEDIUM,high,writeFileAtomic temp-file suffix uses non-crypto randomness,,PASSED,config
208,T11,scripts/install-oc-codex-multi-auth-core.js,215,226,MEDIUM,high,Backup filename timestamp has millisecond-collision risk and no retention policy,,PASSED,config
209,T11,scripts/install-oc-codex-multi-auth-core.js,98,106,MEDIUM,medium,Plugin-list normaliser does not detect file-path plugin entries,213,PASSED,config
210,T11,lib/storage/migrations.ts,76,111,MEDIUM,high,rateLimitResetTime > now drops exact-boundary cooldowns during V1â†’V3 migration,201,PASSED,config
211,T11,lib/storage.ts,807,834,MEDIUM,high,normalizeAccountStorage doesn't persist a backup before overwriting migrated data,96,PASSED,config
212,T11,scripts/install-oc-codex-multi-auth-core.js,60,73,MEDIUM,medium,Cache-clear path hardcoded to .cache/opencode regardless of OS,203,PASSED,config
213,T11,scripts/install-oc-codex-multi-auth-core.js,112,134,MEDIUM,high,mergeFullTemplate throws on model-key overlap with no recovery hint,,PASSED,config
214,T11,scripts/install-oc-codex-multi-auth-core.js,98,106,MEDIUM,medium,Installer strips pinned versions without confirmation,213,PASSED,config
215,T11,scripts/install-oc-codex-multi-auth-core.js,9,10,LOW,high,Installer magic numbers for Windows retry lack rationale,,PASSED,config
216,T11,config/minimal-opencode.json,1,13,LOW,high,minimal-opencode.json omits reasoning.encrypted_content â€” breaks multi-turn sessions if used as-is,,PASSED,config
217,T11,scripts/test-all-models.sh,1,17,LOW,high,test-all-models.sh is bash-only; no Windows parity,,PASSED,config
218,T11,scripts/validate-model-map.sh,1,15,LOW,high,validate-model-map.sh is bash-only; same Windows-parity gap,,PASSED,config
219,T11,scripts/audit-dev-allowlist.js,30,53,LOW,high,audit-dev-allowlist.js uses execSync and exits with no timeout,,PASSED,config
220,T11,scripts/copy-oauth-success.js,8,11,LOW,medium,"copy-oauth-success.js case-folds only on win32, not covering UNC paths",,PASSED,config
221,T12,lib/ui/ansi.ts,5,22,HIGH,high,Missing NO_COLOR environment variable support,,PASSED,cli
222,T12,lib/cli.ts,16,24,HIGH,high,Duplicate TTY detection with silent drift between cli.ts and index.ts,,VERIFICATION_FAILED,cli
223,T12,index.ts,4992,5006,HIGH,high,codex-help topic filter uses substring match and misleads users,,PASSED,cli
224,T12,index.ts,5126,5156,HIGH,medium,codex-doctor --fix silently switches active account without confirmation,223,PASSED,cli
225,T12,,,,MEDIUM,high,"10 of 18 commands lack format=json support, blocking scripting",,VERIFICATION_FAILED,cli
226,T12,lib/table-formatter.ts,25,28,MEDIUM,high,Table truncation measures byte length instead of visible grapheme width,,PASSED,cli
227,T12,lib/ui/select.ts,31,57,MEDIUM,high,truncateAnsi in select.ts miscounts wide and composite characters,,PASSED,cli
228,T12,index.ts,388,392,MEDIUM,high,"toolOutputFormatSchema throws on invalid value, surfacing as opaque tool error",,PASSED,cli
229,T12,index.ts,5040,5056,MEDIUM,medium,codex-setup bundles two unrelated operations into one command,223,PASSED,cli
230,T12,index.ts,6230,6256,MEDIUM,high,codex-export default force=true clobbers files silently,175,PASSED,cli
231,T12,lib/ui/beginner.ts,134,172,LOW,medium,"Beginner checklist hardcodes index=2, misleading single-account users",,PASSED,cli
232,T12,lib/cli.ts,131,141,LOW,medium,Dead code path: promptLoginModeFallback unreachable in common host configs,,PASSED,cli
233,T12,lib/ui/auth-menu.ts,60,101,LOW,medium,"Status badges swallow ""unknown"" without indication",,PASSED,cli
234,T12,index.ts,6156,6222,MEDIUM,medium,codex-refresh exposes no scripting surface despite being destructive,175,PASSED,cli
235,T12,index.ts,394,395,MEDIUM,high,"renderJsonOutput pretty-prints with 2-space indent, inflating scripted payloads",228,PASSED,cli
236,T12,index.ts,4919,5039,MEDIUM,medium,codex-help --help / -h is not accepted; no unified help flag,223,PASSED,cli
237,T12,lib/oauth-success.ts,1,10,MEDIUM,medium,oauth-success.ts ships 629 lines of inline HTML with external CDN dependencies,39,PASSED,cli
238,T12,,,,LOW,high,Inconsistent noun-vs-verb command naming,,VERIFICATION_FAILED,cli
239,T12,lib/ui/ansi.ts,38,40,LOW,high,Duplicate isTTY export chain (re-exported four times),,VERIFICATION_FAILED,cli
240,T12,lib/ui/auth-menu.ts,144,144,LOW,medium,"Doc drift: TUI_PARITY_CHECKLIST ""Deep probe"" vs code ""Deep check""",,PASSED,cli
241,T12,docs/development/TUI_PARITY_CHECKLIST.md,28,28,LOW,medium,TUI parity doc omits [cooldown] and [error] badges that the code emits,,PASSED,cli
242,T12,lib/cli.ts,17,17,LOW,high,FORCE_INTERACTIVE_MODE env override is undocumented,,PASSED,cli
243,T12,lib/cli.ts,32,34,LOW,medium,"promptAddAnotherAccount prints tip via console.log, not UI formatter",,PASSED,cli
244,T12,index.ts,3722,3728,LOW,medium,codex-list legacy-mode suffix table header width is fixed at 42 and loses long workspace names,,PASSED,cli
245,T12,lib/ui/ansi.ts,11,12,LOW,medium,ANSI.clearScreen does not implicitly home the cursor,221,PASSED,cli
246,T13,lib/accounts/rate-limits.ts,1,85,HIGH,high,lib/accounts/rate-limits.ts is a zero-direct-test module on the rotation critical path,,PASSED,tests
247,T13,,,,HIGH,high,No contract tests pin any external API response shape,,VERIFICATION_FAILED,tests
248,T13,test/chaos/fault-injection.test.ts,1,537,HIGH,high,chaos/fault-injection.test.ts performs no fault injection,,PASSED,tests
249,T13,test/index.test.ts,1,30,HIGH,medium,"""Integration"" tests mock most collaborators; interaction bugs are architecturally invisible",,VERIFICATION_FAILED,tests
250,T13,,,,MEDIUM,high,lib/auth-rate-limit.ts is dead code with passing tests that prove nothing,,VERIFICATION_FAILED,tests
251,T13,test/fixtures/v3-storage.json,1,1,MEDIUM,high,Every fixture is inlined; production shapes drift invisibly between tests,,VERIFICATION_FAILED,tests
252,T13,,,,MEDIUM,high,Property tests omit account-state-machine invariants,,VERIFICATION_FAILED,tests
253,T13,,,,MEDIUM,high,No test simulates V2 / V4 storage formats; migration is half-documented and half-tested,,VERIFICATION_FAILED,tests
254,T13,,,,MEDIUM,high,No test exercises the 500 ms debounce + process-exit race window,,VERIFICATION_FAILED,tests
255,T13,,,,MEDIUM,medium,SSE parse tests use only well-formed streams; chunk-boundary edge cases untested,,VERIFICATION_FAILED,tests
256,T13,,,,MEDIUM,high,Silent-failure paths (T09 inventory) have no tests asserting diagnostic output,,VERIFICATION_FAILED,tests
257,T13,,,,MEDIUM,medium,Recovery storage uses real fs but never simulates crash-mid-write,,VERIFICATION_FAILED,tests
258,T13,,,,MEDIUM,high,Git worktree project-root detection is untested,,VERIFICATION_FAILED,tests
259,T13,,,,MEDIUM,medium,removeAccountsWithSameRefreshToken byte-exact compare is untested for whitespace drift,,VERIFICATION_FAILED,tests
260,T13,,,,MEDIUM,high,No retry-budget Ã— rotation coordination test,,VERIFICATION_FAILED,tests
261,T13,test/chaos/fault-injection.test.ts,1,537,MEDIUM,medium,Chaos naming anti-pattern + documentation drift,,VERIFICATION_FAILED,tests
262,T13,,,,MEDIUM,high,Test suite has no harness for deterministic async-interleave (race testing),,VERIFICATION_FAILED,tests
263,T13,,,,MEDIUM,medium,No test for response.incomplete with null response body,,VERIFICATION_FAILED,tests
264,T13,,,,MEDIUM,medium,No test for model-family drift mid-session,,VERIFICATION_FAILED,tests
265,T13,,,,MEDIUM,medium,No test for prependThinkingPart idempotency,,VERIFICATION_FAILED,tests
266,T13,,,,MEDIUM,high,No test for _lastCode concurrent-login collision,,VERIFICATION_FAILED,tests
267,T13,vitest.config.ts,18,28,LOW,medium,Documented 80% coverage threshold is a weak proxy; no per-file minimum enforced,,PASSED,tests
268,T13,,,,LOW,high,Inline fixtures scatter contract across 60 test files,,VERIFICATION_FAILED,tests
269,T13,,,,LOW,medium,No tests for table-formatter.ts wide-char / truncation cases,,VERIFICATION_FAILED,tests
270,T13,,,,LOW,medium,No test for JWT decode on payload with missing or wrong-type fields,,VERIFICATION_FAILED,tests
271,T13,lib/logger.ts,29,34,LOW,medium,No test for logger TOKEN_PATTERNS coverage of OpenAI opaque refresh format,,VERIFICATION_FAILED,tests
272,T13,,,,LOW,high,test/chaos/ directory has exactly one file; naming promises more than delivers,,VERIFICATION_FAILED,tests
273,T13,,,,LOW,medium,No test exercises logError silenced-on-stderr default behaviour,,VERIFICATION_FAILED,tests
274,T14,package.json,99,99,HIGH,high,@openauthjs/openauth@0.4.3 ships with no declared license,,PASSED,deps
275,T14,package.json,100,100,HIGH,medium,Flagship plugin SDK @opencode-ai/plugin is 2 minor versions behind latest,274,PASSED,deps
276,T14,package.json,104,119,MEDIUM,high,Overrides block lacks in-tree rationale and remove-conditions,274,PASSED,deps
277,T14,package.json,76,78,MEDIUM,high,ESLint 10 requires Node â‰¥ 20 but engines.node claims >=18,274,PASSED,deps
278,T14,package.json,79,81,MEDIUM,medium,typescript peer range ^5 will be rejected once TS 6 reaches users,274,PASSED,deps
279,T14,package.json,98,103,MEDIUM,high,Host SDK declared as hard dependency instead of peerDependency,274,PASSED,deps
280,T14,,,,MEDIUM,medium,hono double-pinned (dependency + override) locks transitive patches,,VERIFICATION_FAILED,deps
281,T14,package.json,102,102,MEDIUM,high,"Two copies of zod at runtime (4.3.6 top-level, 4.1.8 under @opencode-ai/plugin)",274,PASSED,deps
282,T14,package.json,55,55,MEDIUM,medium,prepare: husky breaks npm install in environments without .git,274,PASSED,deps
283,T14,package.json,60,67,MEDIUM,high,Publish surface ships scripts/test-all-models.sh + scripts/validate-model-map.sh,274,PASSED,deps
284,T14,package.json,99,99,MEDIUM,low,Supply-chain concentration: 6 transitive deps share one maintainer,274,PASSED,deps
285,T14,package.json,99,99,MEDIUM,medium,Three pre-1.0 packages in production credential path,274,PASSED,deps
286,T14,package.json,85,85,LOW,medium,@types/node@^25 on a >=18 runtime engine,274,PASSED,deps
287,T14,.npmignore,1,14,LOW,high,.npmignore coexists with files field; .npmignore is dead,,PASSED,deps
288,T14,scripts/install-oc-codex-multi-auth.js,1,15,LOW,medium,bin script lacks README note that install is side-effect-free,,PASSED,deps
289,T14,package.json,82,97,LOW,low,Dev-stack minor drift is across the board (12 of 13 outdated are semver-safe),274,PASSED,deps
290,T15,.github/workflows/pr-quality.yml,1,55,HIGH,high,"No CI execution of typecheck, lint, test, audit, or build on pull requests",,PASSED,ci
291,T15,package.json,54,55,MEDIUM,high,No release automation; npm publish is manual and not verified against tests,274,PASSED,ci
292,T15,,,,MEDIUM,high,No .github/dependabot.yml; Dependabot runs only via GitHub UI toggle,,VERIFICATION_FAILED,ci
293,T15,,,,MEDIUM,high,No OpenSSF Scorecard workflow or Scorecard-aligned hardening,,VERIFICATION_FAILED,ci
294,T15,CHANGELOG.md,1,22,MEDIUM,high,CHANGELOG.md does not conform to Keep a Changelog format,,PASSED,ci
295,T15,SECURITY.md,32,44,LOW,medium,SECURITY.md disclosure channel is not a dedicated email address,,PASSED,ci
296,T15,CODEOWNERS,1,14,LOW,high,CODEOWNERS is a single-person catch-all without per-domain reviewers,,PASSED,ci
297,T15,README.md,3,5,LOW,high,No CI/build-status or Scorecard badge in README,,PASSED,ci
298,T15,.husky/pre-commit,1,4,LOW,high,Husky only wires pre-commit; no commit-msg or pre-push hook,,PASSED,ci
299,T15,.github/ISSUE_TEMPLATE/config.yml,1,11,LOW,high,Issue-template contact_links reference stale oc-chatgpt-multi-auth repo URL,,PASSED,ci
300,T15,CONTRIBUTING.md,59,72,LOW,high,CONTRIBUTING.md lacks local-development setup commands,,PASSED,ci
301,T15,.coderabbit.yaml,1,10,LOW,high,".coderabbit.yaml is minimal â€” no path filters, no review profile",,PASSED,ci
302,T16,lib/audit.ts,29,47,HIGH,high,"lib/audit.ts is 100% dead production infrastructure (17 enum values, 0 call sites)",,PASSED,codehealth
303,T16,lib/auth-rate-limit.ts,119,126,HIGH,high,lib/auth-rate-limit.ts is a dead feature â€” never wired to OAuth flow,,PASSED,codehealth
304,T16,index.ts,250,6381,HIGH,medium,index.ts is a 5975-line monolith with 18 inline tool definitions + fetch pipeline + event handler,1,PASSED,codehealth
305,T16,lib/runtime-contracts.ts,1,28,MEDIUM,high,"lib/runtime-contracts.ts is misnamed â€” contains OAuth loopback constants, not runtime contracts",4,PASSED,codehealth
306,T16,lib/utils.ts,1,56,MEDIUM,high,lib/utils.ts is generically named and underused â€” isRecord + nowMs are re-defined in 4 modules,,PASSED,codehealth
307,T16,lib/accounts.ts,209,978,MEDIUM,high,lib/accounts.ts AccountManager is a god-class: state + persistence + rotation + quota + switching + cooldown (40+ methods),6,PASSED,codehealth
308,T16,lib/storage.ts,26,1461,MEDIUM,high,lib/storage.ts does too much: atomic writes + types + migrations + paths + flagged-accounts + backup/export/import (30+ exports),2,PASSED,codehealth
309,T16,lib/auth/login-runner.ts,257,346,MEDIUM,high,Duplicated mergeAccountRecords + pickNewestAccountIndex helpers between storage.ts and login-runner.ts,16,PASSED,codehealth
310,T16,lib/accounts.ts,38,42,MEDIUM,high,36 unused exports + 100 unused exported types + 9 unused AuditAction enum members (knip),,PASSED,codehealth
311,T16,lib/recovery.ts,1,20,MEDIUM,medium,"lib/recovery.ts (top-level, 367 lines) sits sibling to lib/recovery/ folder â€” structural fracture",5,PASSED,codehealth
312,T16,lib/accounts/rate-limits.ts,1,4,MEDIUM,medium,lib/accounts/rate-limits.ts is the only file in lib/accounts/ â€” structural confusion with top-level lib/accounts.ts,246,PASSED,codehealth
313,T16,lib/constants.ts,7,13,MEDIUM,high,lib/constants.ts exports both PACKAGE_NAME and PLUGIN_NAME pointing at the same string,,PASSED,codehealth
314,T16,lib/storage.ts,194,194,MEDIUM,medium,0o600 / 0o700 file-mode magic numbers scattered across 4 files,13,PASSED,codehealth
315,T16,lib/auth-rate-limit.ts,26,28,MEDIUM,medium,Normalization pattern (toLowerCase().trim() / trim().toLowerCase()) duplicated in 10 files without a shared helper,303,PASSED,codehealth
316,T16,lib/request/request-transformer.ts,262,958,LOW,medium,lib/request/request-transformer.ts (998 lines) is near split threshold â€” reasoning/tool/session logic can split,,PASSED,codehealth
317,T16,index.ts,6379,6381,LOW,high,OpenAIAuthPlugin alias export + OpenAIOAuthPlugin + default export trio (duplicate exports),,PASSED,codehealth
318,T16,,,,LOW,medium,"3 unused devDependencies (@fast-check/vitest, lint-staged, typescript-language-server) + 1 unlisted binary (lint-staged)",,VERIFICATION_FAILED,codehealth
319,T16,,,,LOW,medium,lib/auth/token-utils.ts is 472 lines of mostly extract*/select* helpers â€” candidate to split,,VERIFICATION_FAILED,codehealth
320,T16,lib/prompts/codex.ts,1,1,LOW,low,lib/prompts/codex.ts is 463 lines â€” ETag cache + template sync + family definitions in one file,,VERIFICATION_FAILED,codehealth
